NAME,CATEGORY,STREET ADDRESS,ADDRESS,CITY,ZIP CODE,COUNTRY NAME,COUNTRY CODE,PHONE,EMAIL,WEBSITE,FACEBOOK,INSTAGRAM,LINKEDIN,TWITTER,URL,BOOKING LINK,SCORE,RATINGS,OPENING HOURS,MAIN IMAGE URL,DESCRIPTION,POI
108 Padel club,Sports club,Brent Cross West Station / Arbour Street (Stop BB,"Brent Cross West Station / Arbour Street (Stop BB, Brent Cross, London NW2 1LT",London,NW2 1LT,United Kingdom,GB,,,,,,,,https://www.google.com/maps?cid=14443573086927388648,,3.3,17,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzWO-ULtUi-qcYqK5ZGbm3rXT81FyExAGtjYtdl7CTlr5dR9szER-Jzm2g6eV3yx0CgDUAeCrW2CZIYgNIaSOmmH-esbfxJQwkbPomDt5_yuBXGOot8pyZoi3uI1r_NJ58Jy6zapd3kmg-V,,Toilet
Abbey Green Tennis Pickleball Courts,Tennis court,Grendon Rd,"Grendon Rd, Polesworth, Tamworth B78 1HD",Tamworth,B78 1HD,United Kingdom,GB,,,,,,,,https://www.google.com/maps?cid=12965085542094584863,,4.2,5,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz-1Oted5Uj4eSAc_BLPsbHQGGP2ESfaJCmWMJ8kEIAQTzeAhbIOHvEe0N-fCvGYyBNlJwWB7hBPxKqKgkUJoDtowOOf7drV8lldzlaOznhe3KkgpJBCtl0cp4P61nRF-d3IYoZ,,
Ace Padel Stoke,Padel court,Elder Rd,"Elder Rd, Cobridge, Stoke-on-Trent ST6 2JF",Stoke-on-Trent,ST6 2JF,United Kingdom,GB,07394008519,,https://acepadel.uk/,https://www.facebook.com/p/ace-padel-uk-61580896910394,https://www.instagram.com/ace_padeluk,,,https://www.google.com/maps?cid=3209513641711307669,,4.8,10,"Monday: 6am-11pm, Tuesday: 6am-11pm, Wednesday: 6am-11pm, Thursday: 6am-11pm, Friday: 6am-11pm, Saturday: 6am-11pm, Sunday: 6am-11pm",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyglRSe0EnIJQWGwcm28QDobonq-OXp6PfYLXeW21RXsoZrsB9R16iHD3HZyf4n4tWRIWezZScAX6Pb_b5rhvWMTu62ntjGEbqyWFGIOSgQuRrX31tbA5eKro4KLA1SO4NUzQVVqZfNZeA,,"Credit cards, Debit cards, On-site parking"
Advantage Padel - Kingsley,Padel club,"Advantage Padel Kingsley, Forge Rd","Advantage Padel Kingsley, Forge Rd, Kingsley, Bordon GU35 9NG",Bordon,GU35 9NG,United Kingdom,GB,01420489492,info@advantagepadel.co.uk,http://www.advantagepadel.co.uk/,https://www.facebook.com/advantagepadeluk,https://www.instagram.com/advantagepadeluk,,,https://www.google.com/maps?cid=4932876613317897788,,4.8,27,"Monday: 7am-10pm, Tuesday: 7am-10pm, Wednesday: 7am-10pm, Thursday: 7am-10pm, Friday: 7am-10pm, Saturday: 7am-10pm, Sunday: 7am-10pm",https://lh3.googleusercontent.com/p/AF1QipPOm6YmZ65jnJDSEjxWLrI0_7vzrQ6q5OmrjUq5,,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Toilet, Wi-Fi, Free parking lot, On-site parking"
Advantage Padel - Mudeford,Padel club,"Unit 20, Christchurch Business Park, Radar Way","Unit 20, Christchurch Business Park, Radar Way, Mudeford BH23 4FL",Mudeford,BH23 4FL,United Kingdom,GB,,info@advantagepadel.co.uk,https://www.advantagepadel.co.uk/,https://www.facebook.com/advantagepadeluk,https://www.instagram.com/advantagepadeluk,,,https://www.google.com/maps?cid=2216800368986344067,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,"Gender-neutral toilets, Toilet, Wi-Fi, LGBTQ+ friendly, Transgender safe space, Free parking lot, On-site parking"
Advantage Padel - Nottingham,Padel club,19 Daleside Rd,"19 Daleside Rd, Nottingham NG2 3GJ",Nottingham,NG2 3GJ,United Kingdom,GB,,info@advantagepadel.co.uk,https://www.advantagepadel.co.uk/,https://www.facebook.com/advantagepadeluk,https://www.instagram.com/advantagepadeluk,,,https://www.google.com/maps?cid=8296347958481612399,,4.5,8,"Monday: 7am-10pm, Tuesday: 7am-10pm, Wednesday: 7am-10pm, Thursday: 7am-10pm, Friday: 7am-10pm, Saturday: 7am-10pm, Sunday: 7am-10pm",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,"On-site services, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Toilet, Wi-Fi, LGBTQ+ friendly, Transgender safe space, Free parking lot, On-site parking"
Akot Padel,Sporting Goods Shop,45 Fitzroy St,"45 Fitzroy St, London W1T 6EB",London,W1T 6EB,United Kingdom,GB,07867600810,,,,,,,https://www.google.com/maps?cid=5236971228850159518,,,,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Closed, Sunday: Closed",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,"Credit cards, Debit cards, NFC mobile payments"
All Star Padel - King George's Park,Padel court,5 Mapleton Rd,"5 Mapleton Rd, London SW18 4AX",London,SW18 4AX,United Kingdom,GB,,info@allstartennis.co.uk,http://www.allstartennis.co.uk/padel,https://www.facebook.com/allstartennis,https://www.instagram.com/allstartennis01,,https://twitter.com/allstartennis,https://www.google.com/maps?cid=17657150398698943369,,5,1,"Monday: 9am-8pm, Tuesday: 9am-8pm, Wednesday: 9am-8pm, Thursday: 9am-8pm, Friday: 9am-8pm, Saturday: 9am-8pm, Sunday: 9am-8pm",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy0bnSNQ09nkbJAkVojrD1GFFUJJ2rvXARW2KXmQBDauHYSmJmYX8oapvsbeRx5BkljtabynRmst5DcX3QLhgmas3woweKMHopRa66lDqwgyDO1DEBYQTcvzhh5jWovmT6uj5P4Mg,,"Credit cards, Debit cards"
All Star Tennis & Padel - King George's Park,"Tennis court, Sports club, Tennis instructor","King George's Park, The Tennis Hut, Neville Gill Cl","King George's Park, The Tennis Hut, Neville Gill Cl, London SW18 2GJ",London,SW18 2GJ,United Kingdom,GB,02088714706,info@allstartennis.co.uk,https://www.allstartennis.co.uk/,https://www.facebook.com/allstartennis,https://www.instagram.com/allstartennis01,,https://twitter.com/allstartennis,https://www.google.com/maps?cid=7600660237856097536,,4.6,55,"Monday: 7am-9pm, Tuesday: 7am-9pm, Wednesday: 7am-9pm, Thursday: 7am-9pm, Friday: 7am-9pm, Saturday: 7am-9pm, Sunday: 7am-9pm",https://lh3.googleusercontent.com/p/AF1QipMlojitX-HQycc2b5iw_Are94J4HCxcz1voC_e3,,"On-site services, Wheelchair-accessible car park, Wheelchair-accessible entrance, Credit cards, Debit cards, NFC mobile payments"
Altrincham Pickleball Social Group,Sports club,"Marlborough Rd, Bowdon Rise","Marlborough Rd, Bowdon Rise, Hale, Altrincham WA14 2RS",Altrincham,WA14 2RS,United Kingdom,GB,,manchesterpickleball@gmail.com,https://apsg.webflow.io/,https://www.facebook.com/altrinchampickleball,https://www.instagram.com/altrincham_pickleball,,,https://www.google.com/maps?cid=17604744370373936010,,5,11,"Monday: Closed, Tuesday: Closed, Wednesday: Closed, Thursday: Closed, Friday: Closed, Saturday: 12:30-2:30pm, Sunday: Closed",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzzAvevYZszi3flndBj1NERMpIa6U8WJ21FGotDAX2m3ImFjOzdyamdNWfe-fLQZnxkTfT0yzcY96CK9pHjr7XqCZeoX0ILGHP_aqkxgfYtgW38AYKRx2YMwipRQavxtTeAcX-j1w,,"Wheelchair-accessible car park, Toilet"
